ID,comments
난그런거몰라,원베일리 상업성 고려하면 장범준이 맞겠네.
ㅈㅅㅎ,원베일리 장범준은 20년대가 아니라 10년대지어떻게 장범준 커리어 얘기하는데 20년대를 끌고옴...
2번남도허티,원베일리 ? 장범준은 10년대에 껴야지 ㅋㅋ.벚꽃엔딩은 10년대 대한민국에서 가장 히트곡이라고 할 수있는데
디레스터,Kaka#22. 유투브랑 가수위상이랑 도대체 뭔 상관관계가 있다는거그리고 앨범 많이 내면 우위인가?성공한 음원 노래가 장범준이 우위인데
마포구청장,Kaka#22. 콘서트는 단순 팬덤크기 비교자너관객동원력 얘기하는데 음원성적이 더 대중성을 뜻하는 지표 아닐까싶음단순히 노래로만 돈번걸로치면 난 장범준이 한참더 벌었을거 같은데
개푸러,Kaka#22. 잉 장범준도 버스커 합치면 정규만 5개임 유투브로 따져도 장범준도 구독자가 100만 가까이 됨 심지어 유툽에서는 음악관련 콘텐츠만 함
제발한국인은맹구,"Kaka#22. 음색이 독보적일뿐 그정도 음악성 가진 발라더는 널리고 널렸음. 반면 포크에서 장범준 정도 음악성을 지닌 사람은 오버에선 없음. 애초에 비교불가, 장범준이 넘사임"
원웨이브,라울과알레 과장 좀 보태서 90년대 후반생인 나에겐 장범준이 우리세대의 김광석임
저교치기,원웨이브 과장보태서가아니라 걍 우리세대 김광석이 장범준 맞음 지금 20 30대 남자들 장범준 노래들으면서 감정이입 안된사람 단 한명도 없다고 자부함
싸우면혼난다,9.3.0521 히트곡 기준을 뭐로 잡아도 장범준이 우위 같은데 당장 버스커버스커 시절때만으로 잡아도 그렇고
테재앙의승점공장,라울과알레 장범준이 가수 goat는 아닌데 벚꽃엔딩 버스커버스커 1집은 한국 대중음반계 goat 반열이지
에펨자료받으러,델카이저 멜론하트로 따지기엔 활발하게 활동한년도가다름아예 비교삼을만한 지표자체가 안되지수많은 옛날명곡들 << 벚꽃엔딩은 아니니까
델카이저,에펨자료받으러 너의모든순간보다 벚꽃엔딩이 먼저나왔는데
티아고메시,무협초보 전성기가 20년 전이었던 가수랑 지금이 전성기인 가수랑 요즘 활동 비교하는 게 맞낭ㅋㅋ물론 장범준이 진짜 뛰어난 가수인 건 맞는데 기준이 좀ㅋㅋ
화이트보드,무협초보 당장 장범준이 원히트원더 어쩌고했지만 버스커버스커 1집은 음반자체가 명반이였고 3집까지도 성적 괜찮았음  개인  앨범도 계속 내고 최근 ost 흔꽃삼으로도 선방하고 그냥 팬서비스음악이 잠이오질않네요도 많이들 듣고있는데뭔 히트곡이 적네  원히트원더네 하는지 모르겠음
가면찾는BOT,무협초보 그니까 데뷔 22년된 가수한테 앨범 내면 묻힌다 이런소리가 웃긴거라고 장범준 22년차에 차트 성적좋으면 ㅇㅈ함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
courteou,무협초보 히트곡으로만 따지면 장범준 >>> 임재범인데 가수들 100 명 모아두고 임재범과 장범준 중에 누가 더 뛰어난 가수냐고 물어보면 100 명 중에 90 명은 임재범 뽑는다에 손모가지 검 ㅋㅋㅋㅋㅋㅋ
courteou,무협초보 처음엔 히트곡이랑 앨범 줄세우기로 비교하면서 장범준이 위라더니 갑자기 가창력도르 나온다고?? ㅋㅋㅋㅋㅋㅋㅋ 장범준충들 존나 추하네 ;;;;
Diptyque,무협초보 ㄹㅇ 당장 장범준은 20년도에 싱글로 낸 '잠이 오질 않네요'만 해도 1년도 채 안 되어서 가온차트 기준 1억 스트리밍 달성했는데
579632,"무협초보 2014년 08월 19일 '장범준 1집'이 발표되었고, 장범준은 본인이 처음 프로듀싱한 앨범을 대중에게 선보이게 된다. 그러나 버스커 버스커 앨범과는 다른 실험적이고 마이너한 감성이었던 1집은 대중들에게 큰 어필을 하지 못했다.03월 25일 '장범준 2집'이 발매되었고, 1집보다 나은 성적을 거두게 된다.2016년 12월 07일, 정규 앨범만 내던 장범준은 처음 싱글 음원을 발매하게 된다. 2017년 05월 15일 군 입대를 앞두고 마지막으로 낸 음원이었지만 장범준 스스로 '가장 안 유명한 노래'라고 말할 정도로 상업적으로 가장 부진하였다.이런 애들은 장범준 앨범도 꽤 망한 게 많은데 모르나보네ㅋㅋㅋ가수는 무엇보다 노래가 좋아야뜨는거고 장범준도 다음 앨범 내봐야 아는거임"
어그로에많관부,나한테 장범준은 따라부르기 좋은 노래 많이 내주는 가수. 슈스케로 대박낸 원히터가수 정도로 생각했는데 평가가 많이 높았네
화이트보드,어그로에많관부 버스커3집에  개인앨범3집에 단발성 음원 많이냈는데 무슨;;;
엘마,허밋 히트곡도 장범준이 딱히 안밀림
원할머니암바걸기,섹보스지스털섹 공감 ㅋㅋ 걍 장범준은 진짜 천재같은데
익사는익사이팅,2월30일 벚꽃엔딩 여수밤바다 스테디셀러
애교자판기꽃케이,MP5 진지하게 벚꽃엔딩 이기려면 붉은노을정도는 가져와야...
노하라히로시,"엠팍은 이승철 vs 임창정도 임창정이 이기는 곳인데 뭐그냥 3040 야구 사이트라서 술 마시고 노래방에서 절절하게 부를 수 있는 가수, 통계와 숫자 나열에 앞서 보이는 가수가 이김"
익사는익사이팅,물맛이좋아요 장범준도 은근 꾸준함
익사는익사이팅,93년생인데 장범준이 최근에 더 활동해서 그런가 장범준임
Fkdkd,티아고메시 장범준은 대상가수임
튀르키예,티아고메시 응 장범준은 대상이야 ㅋㅋㅋㅋㅋㅋㅋ
