ID,comments
구름위로,그놈의 vs질 참 지겹다왕석현100명vs뱅갈호랑이1마리
민나상고멘,구름위로 이건 석현이 의견도 들어봐야..
괴해신살권,구름위로 김성찬150명 vs 왕석현100명
비정상인,2000년생 이상 급식은 장범준90년대생이하는 성시경 나올듯
래드키,비정상인 반대임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ00년생은 성시경 80년생은 장범준인 분위기였음ㅋㅋㅋㅋㅋㅋㅋㅋ
BEST 래드키,비정상인 성시경 전성기를 모르니까 풍문으로 들은 애들이 더 고평가엠팍은 나이대가 높아서 직접 봤기 때문에 더 냉정하게 평가하는 경향이 있는 듯 엠팍은 장범준이 이기고펨코는 성시경이 이김
조선제일펜잡이,래드키 이게맞다
원베일리,"델카이저 근데 장범준이 20년대 goat도 아니잖아 ;가창력은 성시경이 우위고,히트곡은 장범준이 우위고..근데 또 20년간 술담배 다 하면서 길게 활동하는거보면 성시경이 더 나은 가수같지만,그 많은 임팩트있는 곡을 썼다는걸 생각하면 또 장범준.."
저교치기,원베일리 [삭제된 댓글입니다.]
쵹쵹한쵹코췹,저교치기 GOAT는 한명이 맞음. 애초에 개념자체가 한명임.
퐉스련,저교치기 그레이트 오부 올 타임인데요 ㅋㅋ
쵹쵹한쵹코췹,퐉스련 [삭제된 댓글입니다.]
퐉스련,쵹쵹한쵹코췹 쓰고 아차함 ㅋ
쵹쵹한쵹코췹,퐉스련 민망할거 같으니 빠르게 지워줌
쵹쵹한쵹코췹,"원베일리 니가 말해놓고 말 이상한거 못느낌? ㅋㅋㅋGOAT자체가 ""올타임""을 놓고 그중에 넘버원이 누구인가 인데 ""20년대""로 한정해서 GOAT를 논하고 있네 ㅋㅋㅋㅋ가창력, 히트곡 외에 다른 많은 요소를 종합적으로 고려해도 그냥 장범준이 압살수준임 ㅋㅋㅋ딱 가창력 정도만 성시경이 위지 ㅋㅋ가수라면 대중들에게 노래로 얼마나 오래 기억되는가를 따져야 하는데장범준은 벚꽃엔딩 하나만 갖고도 이대로면 대한민국이 아얘 망해서 세계지도에서 사라져도 구전 민요로 전해질 수 있는 각임 ㅋㅋㅋ이 기조가 10~20년만 더 유지되면 김광석이랑도 비벼볼 수 있을거 같은데 성시경 노래가 과연?"
원베일리,"쵹쵹한쵹코췹 왜 이렇게 화가 남 ;;쟤가 먼저 00년대 goat 운운하길래 대응한거지, 내가 먼저 goat 타령을 했다는 식으로 날조하는거임?"
쵹쵹한쵹코췹,원베일리 뭘 화가나 ㅋㅋㅋ 너 말 자체가 이상하다는건데 확대해석하지말고 문자 그대로 내용만 보셈 ㅋㅋ그리고 다시보니 너 말 자체도 아얘 잘못이해하고 있는데 니가 말하는 goat 자체가 오개념이라고 했을 뿐이지 니가 뭐 날조하고 유언비어 퍼뜨렸다 그런 소리 단 한마디도 안했음.니가 왜 20년대 goat같은 이상한 소리를 했는지는 이해했음 ㅋㅋㅋ
