ID,comments
비정상인,래드키 앵? 성시경 전성기를 모르는 애들이?
델카이저,래드키 이말이맞음 성시경이 00년대 goat 은 아니자너
클라우드22,래드키 니가 맞음.  성시경은 고트급인 발라더들은 거론할 것도 없고 김종국도 못이김.
Kaka#22.,비정상인 성시경이 요즘 유투브로 잘나가서 근데 이건 비교할거리도 안될정도로 성시경 압승일텐데 애초에 성시경은 정규 앨범만 8개임
BEST 에펨트리,비정상인 전성기를 모르니깐 대충 들은 이야기 + 예능등에서 본 이미지로 가수를 평가함전성기로보면 당시에도 동시대 발라드 가수한테도 밀리던게 성시경이었는데
[Felix],가수로보면 당연히 성시경이지 않나 ㅋㅋ 체급차이 많이나는거 같은데..   틀이라 그런가?   근데 생각해보면 엄청 터진 역대급 노래는 없는거 같기도하고?
에펨트리,라울과알레 성시경이 한국 발라드 GOAT이라는 애들도 많던데 ㅋㅋㅋㅋ
눈군,크래프톤가자잇 나도 30중반인데 아까 댓글에 변진섭 이문세까지 나와서 진짜 깜짝 놀람 ㅋㅋㅋ 성시경 세대면 신승훈 테이프 뒤집어 듣는 세대 다음 세대인데.. 심지어 변진섭은 청바지가 잘어울리는 여자 이 부분 빼고 아는 사람도 별로 없을텐데
눈군,크래프톤가자잇 그냥 예측인데 성시경 깔려고 아는 레전드들 죄다 끌고 나온 거 같음. 그래서 나이 대 예측 아예 안되는 걸 보면  아마 성시경 세대는 아닌거 같다 생각했음.
눈군,"오펜하이머무새 아 역시 그런 게 있었고만,, 어쩐지 성시경 얘기하는데 조성모 김종국 임창정 까지는 맞지 걔네도 있지 했는데 갑자기 신승훈? 거기에 변진섭?? 거기에 이문세??? 지금 유튭에 7080 발라드 치면 나오는게 변진섭 이문세 인데 갑자기 성시경 글에다가 집어넣고 있길래 내 눈이 잘못된 줄 알았음.. 뭔가 세대가 뒤죽박죽 겁나 안 맞는다 했는데 그냥 읊은 거 였나보네."
눈군,"제발한국인은맹구 먼저 저는 이승철 얘기 안했습니다. 이승환입니다. 그리고 신승훈이 발라드 계보에 없다는 얘기도 한 적 없습니다. 제 세대에 발라드 스타의 이미지가 아니라고 했을 뿐이고요. 제 세대에서 신승훈 그러면 이미 한물 간 가수 느낌이었습니다. 아니라고 반박하시면 할 말 없고요. 전 개인적으로 성시경이 신승훈, 이승환 같은 발라드 라인이라 생각하고요제가 말하는건 개인이 판단한게 기준이라고 한 말이 아니고요, 최고의 기준을 누가 어떻게 세울 수가 없는데 자꾸 무슨 기준이 있는 것 처럼 얘기하니까 그렇죠바로 아래 댓글만 해도 신승훈은 goat 맞다고 하는 기준이 앨범 판매량이고, 누구는 멜론으로 따지고 있고 지금 기준 말하는 사람은 가수가 끼친 성과/성취라는데 그 장르 입지라는 말이 도대체 어떤 기준으로 누가 정해주냐 하는 거죠. 저는 그 시점에 학창시절을 겪은 사람들이 그 당시 분위기를 정확히 안다고 하는거에요 goat를 말한게 아니니까 수정했습니다제 세대 에서 발라드 하면 성시경이라는 이미지가 있던게 사실이라고 말했고 제가 딱히 뭘 주장한게 아니라 다른 세대가 제 학창시절의 세대가 바라보던 성시경 입지를 전부 이해할 수 없다고 말한거고요[댓글이 수정되었습니다: 2022-10-11 05:47:14]"
눈군,"제발한국인은맹구 그리고 애시당초 제 글에서는 성시경이 goat라고 말한 게 아니라고 밝혔어요. 잘 봐요. 제 글은 성시경이 goat라고 말하는 세대가 왜 그렇게 말했는지 설명해준 거고, 그 사람들 입장에서는 그냥 성시경 = 발라드 였으니까 그렇게 말한거다. 라고 말한건데 무슨 장르의 입지니 최고가수를 논한다니 이해를 못한다니. 전 그런 얘기를 한 적이 없어요. 최고는 누가 뽑히던 상관 안 하는데 성시경이 발라드 가수로써 그 세대가 아닌 사람들이 그 세대가 최고라고 평가하는 데에 무슨 공인된 특별한 기준도 아니고 갑자기 끌고 오는 게 이문세 변진섭 이니까 웃기다고 한거고요. 만약 조성모 김종국 임창정 나얼 얘기 하시는거면 아, 그렇지. 라고 할 거라고 이미 위에서 밝혔고요. 근데 그게 결국 그 세대 입장 아니에요?누가 댓글로 아 성시경이 이 분야 킹이지. 라고 자기 생각말했더니 갑자기 가왕 조용필 튀어나오고 비틀즈 튀어나오면성시경 세대는 몇번 듣지도 못한 가수들 튀어나오면 웃기다고 생각 안 하시겠어요?"
제발한국인은맹구,"눈군 그럼 논쟁 자체가 무의미하단 입장이시군요. 자세히 설명하시니 무슨 말인지 이해했습니다.그럼에도 수많은 사람들은 기준을 정하고 평가하는 건 필요하죠.보통 그 기준이라 함은 단순히 노래를 잘해서도 아니고, 대중적이기만 해서도 아니고, 작품성과 음악성을 종합해서 해당 시대의 위치를 차지하고 있을때 계보를 잇는다고 하는것같아요말 그대로 이 시대는 누구의 시대였지라는 얘기가 나올 가수들이요.변진섭 이문세 신승훈 임창정 조성모 성시경 박효신 이렇게 이어지는 듯이승철과 이승환은 록발라드라 방계의 느낌이고, 이승철은 곡을 쓰지 않기 때문에 가볍다고 평가되구요"
케논,라울과알레 성시경한테 진다고 저평가는아님.. 사실 메시냐 펠레냐 수준이자너
에펨자료받으러,델카이저 성시경 젤 인기있는곡이 너의모든날이라고?ㅋㅋㅋ그것도 멜론하트기준이냐? 연령대가 어캐되누 무조건 희재 거리에서 둘중하나지 뭔소리임
C3PO,에펨자료받으러 희재는 아님. 거리에서겠지. 희재는 나왔을때 묻혔다가 롱런하면서 뜬거임
티아고메시,델카이저 거리에서 희재 너의모든순간 내가너의곁에잠시살았다는걸 내게오는길 넌감동이었어 두사람 좋을텐데 차마 안녕 나의 사랑 너는나의봄이다 그대네요등등 아직까지도 회자되는 노래가 많은데젤 인기 있었던 곡만 따지는 건 이유를 모르겠넹
주크박스,가고시마 성시경이 리메이크 하긴 함
퍼틸레인,성시경 거리에서 말고는 잘 모르겠음
가면찾는BOT,무협초보 성시경 데뷔년도나 보고와서 이런말해라 ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
무협초보,뒤앙민크 새히트곡없이 계속 활동하는게 커리어 롱런이라치면 그냥 먼저 시작한가수가 대부분 롱런으로 압살이라 비교자체를 할수가없음. 예를들어 성시경은 짧은 전성기라는 조성모한테 롱런으로 발리고 소녀시대는 천상지희멤버한테 롱런으로 발림 애초에 말이안되지 저런 기준은. 전성기가 얼마나 오래 지속되었냐가 롱런이지. 성시경은 롱런한거 맞음 지금이 아니란거지.
뮐러를발롱으로,무협초보 성시경 아직도 앨범내는거 이 댓글 아니면 평생 몰랐을듯
무협초보,courteou 뭔소리야 다 따져봐도 못이긴다고 니가 주장해봐 그럼 넌 뭘 기준으로 성시경이 우위인데?
무협초보,courteou 그래 니 취향이 성시경이 위야 첨부터 그렇게 말하지 그랬어 시간날렸네
무협초보,무협초보 와 개졸렬하게 욕박고 블라튀를 해버리네새히트곡없이 가수활동만 계속하는게 롱런이면 조성모가 성시경보다 롱런하고있다고함? ㅋㅋㅋㅋ 커리어 얘기할떄 롱런이라는건 전성기의 길이를 얘기하는거지 끝까지 박박 우겨대다가 블라튀 개추하다진짜
LeslieC,어그로에많관부 원히터라기엔 성시경보다 오히려 히트곡은 더많을걸
그남자그여자,LeslieC 히트곡이 성시경보다 많다고?
일간베티스,"섹보스지스털섹 김형석 밑에서 나오고 나서부터 거리에서 들어있던 5집부터 성시경이 쭉 프로듀싱함. 3집부터 자작곡 넣기 시작했고, 6집부터 비중이 상당히 늘었음.7집에서 8집 넘어갈 때까지 10년정도 공백이 있었는데 그때 ost들은 작사,작곡 대부분 본인이 함.곡만 받아서 부른다는게 외려 편견임."
클라우드22,"리들리스콧 아니 김종국 Vs 성시경 비교만 해도 20대 애들이 ""성시경 아님?""  그러면 김종국의 3사 통합 가요대상 성적 하나만 꺼내와서 김종국이 단기 임펙트 갑이라고 하면 거기서 댓글싸움 게임 종료되는게 객관적 지표의 힘인데?니 말은 성과라는게 의미가 없다며?  난 의미가 ㅈㄴ 크다고.  의미가 왜 없어. 아이유를 역대 여자솔로 원탑으로 평가할 때도 팬들이 가장 먼저 꺼내오는게 수많은 음원성적, 가요시상식 성적 등 가져오는데?  BTS 평가?  당연히 팬들이 음반판매량, 유튜브 조회수 등 갖고오고 ㅋㅋ  성과는 절대 의미없지 않음."
C3PO,80년대생 틀인데 성시경 노래도 바로 10곡은 부를 자신 있고 좋아하는 가수지만 좀 적당히 올려쳐야지.당대 원탑이었던 적은 없고 꾸준히 상위권에 있었으니 충분히 좋은 가수긴 하지만 당대 원탑들이랑 비교는 못하지
클리어,성시경 노래는 좋았는데 걍 임팩트가 없었음 ㅋㅋ 지금까지 그 목소리를 유지해서 요즘 더 뜨는 느낌. 당시 최고히트곡이였던 거리에서보다 이기찬 감기 이런게 더 순위 높았을껄
래드키,클리어 사실 성시경이 연간판매순위 10위 안에 들어간게 02년에 8위 한번 한 것 밖에 없음롱런으로 유지한거지 임팩트는 약함
화이트보드,조윤희 성시경이 스테디셀러였던적이 없다고;;;
디레스터,조윤희 성시경이 스테디 셀러인 적 없다
제발한국인은맹구,"조윤희 메가 곡은 서너곡이겠지만 히트곡은 훨씬 많을텐데, 성시경은 메가 곡마저 거리에서 하나이고"
Fkdkd,엠팍은 ㄹㅇ 아재들이라 성시경 전성기때도 저게 요즘 인기있는 가수인가~ 이런 반응이라 더 냉철한듯여기는 아직도 롤보다 스타라는 사람들도 있어서 버즈보다 sg워너비가 위라는 사람들고 있었고 객관적이지 못함
래드키,Fkdkd 나도 틀인데 버즈는 당시에 sg워너비랑 비교가 안됐음sg워너비가 압도적임그리고 발라더로선 동시대에 이수영이 성시경보다 압도적으로 위였음
FMNat,다이나믹아일랜드 진짜 조금만 파고들어도 성시경 테크닉이 진짜 엄청나게 어려운건데 노래를 너무 쉽게 부르는 것처럼 보여지니 이러는건가 싶고...걍 둘 다 완전히 다른 스타일로 자신만의 스타일을 승화시키는데 왤케 비교질들인지 모르겠다 ㅋㅋㄱ
우야노내쥬지,성시경이 존나게 위지 뭔 개소리들을 쳐하고 자빠졌냐 저긴 ㅋㅋㅋㅋㅋ
화이트보드,2월30일 성시경이 스테디셀러인적 없었음당장 동시기에서 탑티어도 아닌데
류혜영사랑해,2월30일 성시경은 동시대에 비교해도 한참 떨어짐 스테디셀러였던 적 없음
디레스터,2월30일 성시경은 스테디 셀러인적 없음막상 가수로서의 실적은 이정도야 할정도로 별로임애초에 연간 10위권이 2002년 8위로 단 한번
래드키,사실 00년대 발라더로 원탑은남자는 조성모 여자는 이수영이렇게임솔직히 김동률만 봐도 성시경보다 밑이 아님
내장지방,래드키 김동률이 성시경 개패지 무슨 소리 함 ㅋㅋㅋ
우야노내쥬지,아늑 거리에서 모르니
influxDB,아늑 그건 아님나윤권은 아예 1위곡 자체가 없고 성시경은 우린 제법 잘어울려요가 나왔을 당시에는 꽤 잘 나갔어지금은 거리에서 희재 이런 노래가 더 유명하지만
9.3.0521,익사는익사이팅 성시경은 무려 20년임
khanhyo,Fkdkd 거리에서
래드키,khanhyo 사실 거리에서는 생각보다 큰 히트곡은 아님 우린 제법 잘 어울려요가 훨씬 더 크게 됐음 거리에서는 월간 1위 정도급 노래임
khanhyo,래드키 돈을 많이 벌게한건 거리에서라니깐 난 사실 두사람 희재 차마 한번더 이별등 이런 노래들이 더 좋음 앨범 팔린수로만으로는 얘기할 수 없는 것도 있다 생각함
고추2,로제박은빈카리나 거리에서 이후에 군대도 있고10년대 앞뒤로 아이돌판 커지면서 발라드가 많이 가라앉음성시경이 잘났으면 이런것 안따지고 잘나갔겠지만 ㅋ
khanhyo,성시경은 많은 ost같은 것들 때문이 크지 조성모가 당시 더 잘나간거는 많은데 최근에는 잘 안듣지만 성시경 노래는 꾸준히 많이 듣는 다는 차이도 있고 그냥 풍문으로 치켜세우는게 아니라고 생각함
화이트보드,티아고메시 성시경 수상 뭐있는데
송흥민,성시경이 혹시라도 이 글 보면 잠 못자겠네 ㅋㅋ
부추,성시경이 고평가 이런 소리 들을 가수는 아니라 생각함 ㅋㅋ 발라드 goat까진 아니더라도 손가락 안에 들어갈텐데
래드키,"부추 사실 롱런해서 그렇지 성시경은 김나박이, 조성모, 임창정 세대임ㅋㅋㅋ"
부추,래드키 ㅇㅇ.. 뭐 시대를 평정하고 그런 건 아니지만롱런하면서 히트곡도 꾸준히 나오는 게 대단하다 생각함내 취향이 성시경쪽이라 그런가 편들게 되네 ㅋㅋ
김해코스트코,래드키 00년대 미디엄템포 시절에도 박효신 눈의꽃급 고점을 찍은것도 아니고 그시절도 지배자는 SG워너비였고당시 거리에서는 걍 모세 사랑인걸이랑 비슷한 정도 히트곡이었던거같은데
신병모시,김해코스트코 ㅋㅋㅋ사랑인걸이랑 비슷한건 말이안되고거리에서 그 당시 올해의 노래 수상하던 노래인데
김해코스트코,신병모시 거리에서가 올해의 노래?그때 SG워너비 내사람 윤도현 사랑했나봐 이런게 인기 ㅈㄴ많았는데거리에서 무시하는게 아니고 모세 사랑인걸도 원히트원더로 인기 ㅈㄴ 많았음 지금으로 치면 둘다 멜론 9~10위권 롱런하는 느낌
