ID,comments
비정상인,래드키 앵? 성시경 전성기를 모르는 애들이?
델카이저,래드키 이말이맞음 성시경이 00년대 goat 은 아니자너
클라우드22,래드키 니가 맞음.  성시경은 고트급인 발라더들은 거론할 것도 없고 김종국도 못이김.
Kaka#22.,비정상인 성시경이 요즘 유투브로 잘나가서 근데 이건 비교할거리도 안될정도로 성시경 압승일텐데 애초에 성시경은 정규 앨범만 8개임
BEST 에펨트리,비정상인 전성기를 모르니깐 대충 들은 이야기 + 예능등에서 본 이미지로 가수를 평가함전성기로보면 당시에도 동시대 발라드 가수한테도 밀리던게 성시경이었는데
[Felix],가수로보면 당연히 성시경이지 않나 ㅋㅋ 체급차이 많이나는거 같은데..   틀이라 그런가?   근데 생각해보면 엄청 터진 역대급 노래는 없는거 같기도하고?
에펨트리,라울과알레 성시경이 한국 발라드 GOAT이라는 애들도 많던데 ㅋㅋㅋㅋ
눈군,크래프톤가자잇 나도 30중반인데 아까 댓글에 변진섭 이문세까지 나와서 진짜 깜짝 놀람 ㅋㅋㅋ 성시경 세대면 신승훈 테이프 뒤집어 듣는 세대 다음 세대인데.. 심지어 변진섭은 청바지가 잘어울리는 여자 이 부분 빼고 아는 사람도 별로 없을텐데
제발한국인은맹구,"눈군 그럼 논쟁 자체가 무의미하단 입장이시군요. 자세히 설명하시니 무슨 말인지 이해했습니다.그럼에도 수많은 사람들은 기준을 정하고 평가하는 건 필요하죠.보통 그 기준이라 함은 단순히 노래를 잘해서도 아니고, 대중적이기만 해서도 아니고, 작품성과 음악성을 종합해서 해당 시대의 위치를 차지하고 있을때 계보를 잇는다고 하는것같아요말 그대로 이 시대는 누구의 시대였지라는 얘기가 나올 가수들이요.변진섭 이문세 신승훈 임창정 조성모 성시경 박효신 이렇게 이어지는 듯이승철과 이승환은 록발라드라 방계의 느낌이고, 이승철은 곡을 쓰지 않기 때문에 가볍다고 평가되구요"
케논,라울과알레 성시경한테 진다고 저평가는아님.. 사실 메시냐 펠레냐 수준이자너
에펨자료받으러,델카이저 성시경 젤 인기있는곡이 너의모든날이라고?ㅋㅋㅋ그것도 멜론하트기준이냐? 연령대가 어캐되누 무조건 희재 거리에서 둘중하나지 뭔소리임
C3PO,에펨자료받으러 희재는 아님. 거리에서겠지. 희재는 나왔을때 묻혔다가 롱런하면서 뜬거임
티아고메시,델카이저 거리에서 희재 너의모든순간 내가너의곁에잠시살았다는걸 내게오는길 넌감동이었어 두사람 좋을텐데 차마 안녕 나의 사랑 너는나의봄이다 그대네요등등 아직까지도 회자되는 노래가 많은데젤 인기 있었던 곡만 따지는 건 이유를 모르겠넹
주크박스,가고시마 성시경이 리메이크 하긴 함
퍼틸레인,성시경 거리에서 말고는 잘 모르겠음
가면찾는BOT,무협초보 성시경 데뷔년도나 보고와서 이런말해라 ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
무협초보,뒤앙민크 새히트곡없이 계속 활동하는게 커리어 롱런이라치면 그냥 먼저 시작한가수가 대부분 롱런으로 압살이라 비교자체를 할수가없음. 예를들어 성시경은 짧은 전성기라는 조성모한테 롱런으로 발리고 소녀시대는 천상지희멤버한테 롱런으로 발림 애초에 말이안되지 저런 기준은. 전성기가 얼마나 오래 지속되었냐가 롱런이지. 성시경은 롱런한거 맞음 지금이 아니란거지.
뮐러를발롱으로,무협초보 성시경 아직도 앨범내는거 이 댓글 아니면 평생 몰랐을듯
LeslieC,어그로에많관부 원히터라기엔 성시경보다 오히려 히트곡은 더많을걸
그남자그여자,LeslieC 히트곡이 성시경보다 많다고?
일간베티스,"섹보스지스털섹 김형석 밑에서 나오고 나서부터 거리에서 들어있던 5집부터 성시경이 쭉 프로듀싱함. 3집부터 자작곡 넣기 시작했고, 6집부터 비중이 상당히 늘었음.7집에서 8집 넘어갈 때까지 10년정도 공백이 있었는데 그때 ost들은 작사,작곡 대부분 본인이 함.곡만 받아서 부른다는게 외려 편견임."
클리어,성시경 노래는 좋았는데 걍 임팩트가 없었음 ㅋㅋ 지금까지 그 목소리를 유지해서 요즘 더 뜨는 느낌. 당시 최고히트곡이였던 거리에서보다 이기찬 감기 이런게 더 순위 높았을껄
래드키,클리어 사실 성시경이 연간판매순위 10위 안에 들어간게 02년에 8위 한번 한 것 밖에 없음롱런으로 유지한거지 임팩트는 약함
화이트보드,조윤희 성시경이 스테디셀러였던적이 없다고;;;
디레스터,조윤희 성시경이 스테디 셀러인 적 없다
Fkdkd,엠팍은 ㄹㅇ 아재들이라 성시경 전성기때도 저게 요즘 인기있는 가수인가~ 이런 반응이라 더 냉철한듯여기는 아직도 롤보다 스타라는 사람들도 있어서 버즈보다 sg워너비가 위라는 사람들고 있었고 객관적이지 못함
FMNat,다이나믹아일랜드 진짜 조금만 파고들어도 성시경 테크닉이 진짜 엄청나게 어려운건데 노래를 너무 쉽게 부르는 것처럼 보여지니 이러는건가 싶고...걍 둘 다 완전히 다른 스타일로 자신만의 스타일을 승화시키는데 왤케 비교질들인지 모르겠다 ㅋㅋㄱ
우야노내쥬지,성시경이 존나게 위지 뭔 개소리들을 쳐하고 자빠졌냐 저긴 ㅋㅋㅋㅋㅋ
류혜영사랑해,2월30일 성시경은 동시대에 비교해도 한참 떨어짐 스테디셀러였던 적 없음
내장지방,래드키 김동률이 성시경 개패지 무슨 소리 함 ㅋㅋㅋ
influxDB,아늑 그건 아님나윤권은 아예 1위곡 자체가 없고 성시경은 우린 제법 잘어울려요가 나왔을 당시에는 꽤 잘 나갔어지금은 거리에서 희재 이런 노래가 더 유명하지만
9.3.0521,익사는익사이팅 성시경은 무려 20년임
khanhyo,Fkdkd 거리에서
고추2,로제박은빈카리나 거리에서 이후에 군대도 있고10년대 앞뒤로 아이돌판 커지면서 발라드가 많이 가라앉음성시경이 잘났으면 이런것 안따지고 잘나갔겠지만 ㅋ
송흥민,성시경이 혹시라도 이 글 보면 잠 못자겠네 ㅋㅋ
부추,성시경이 고평가 이런 소리 들을 가수는 아니라 생각함 ㅋㅋ 발라드 goat까진 아니더라도 손가락 안에 들어갈텐데
김해코스트코,래드키 00년대 미디엄템포 시절에도 박효신 눈의꽃급 고점을 찍은것도 아니고 그시절도 지배자는 SG워너비였고당시 거리에서는 걍 모세 사랑인걸이랑 비슷한 정도 히트곡이었던거같은데
신병모시,김해코스트코 ㅋㅋㅋ사랑인걸이랑 비슷한건 말이안되고거리에서 그 당시 올해의 노래 수상하던 노래인데
자시안,성시경 vs 조성모는 조성모 압승맞지?성모형은 축구로 치면 호나우지뉴 느낌인데 고점이 존나 높은
착한말전도사,감자국틀니 성시경이 조용필 나훈아급이면 애초에 이야기가 안나오지 않았을까?
시몬유후,하루3시간취침 비교하려면 성시경 콘서트는 축가로 계산해야지 올림픽 보조 경기장 (10000석) 3일 모두 매진
유비,성시경이 당연히 윈줄알았는데..95년생임 난 성시경 노래가 더 좋아
히드로,성시경 바로 앞에서 라이브로 들어본 사람으로써 한마디하면 세상 살면서 저렇게 감미로운 목소리는 처음 들어봄노래 좀 한다는 일반인들? 성시경 발톱 때에도 못미침 진짜 고막 유린당하는줄
후에마,난 성시경 노래를 ㅈㄴ잘부르잖아
한국고대사,래드키 '거리에서'는 그래도  꽤 고점이라고 부를만하지 않나요??
노하라히로시,노하라히로시 음방음원노래방차트콘서트음반판매량수상내역주요 기록들 전부 이승기가 우위그럼 대중가수로서 이승기>>성시경인가?
충훈부,자시안 그렇긴한데 앨범 판매량이 둘이 비슷할거야 100만장대로 물론 성시경 노래가 더 오래가서 우위라고 생각하긴함 굳이 따지면 박효신 성시경 이수 이정도 생각함 ㅋㅋ
루피,개소 추억보정이라고 하기에는보컬로서의 가창력이나 콘서트 관중동원력에서아직 장보다 성이 확실히 우위임장이 차트 성적이나 앨범의 음악성은 압살이지만그 외부분에서 아직 성시경이 생각보다 쌩쌩함그래서 근소우위라는거
제드왕,하루3시간취침 근데 성시경이한 잠실은 보조경기장임 주경기장이 아니라
하루3시간취침,제드왕 그러네 하긴 쓰면서 성시경이 주경기장 할수있나?싶긴했음
햄버걸줄수있을때,근데 성시경 당시에 그렇게 히트 아니라는데 나 02년생이라 성시경 전성기 세대 아닌데도 어렸을때부터 거리에도 내게오는길 이런거 어렴풋이 알고있었음반면에 더 히트했다는 이수영은 가수이름도 모르고 노래도 하나도 몰랐음 나중에 내가 직접 찾아보고서야 알았고
로제박은빈카리나,햄버걸줄수있을때 성시경은 꾸준히 활동했고 이수영은 거의 은퇴한거나 마찬가지였으니 당연히 모르지
Qwaszxer,난 성시경 성대가 너무 사기야.....
만들게없어,성시경 코앞에서 들은 나는 성시경.:
지프는지프,김해코스트코 고점만 비교하면 성시경은 이기찬 최전성기도 넘을지 모르겠음..그 시대 겪어본 입장에선
RKO,지프는지프 성시경 고점은 개인 앨범보다 ost들이 더 높은거 아녀?
saddy112,"지프는지프 ㅁㅊ 너무 내려친다 ㅋㅋ성시경 역대 앨범 빼고 이윽고 한곡으로 음원, 노래방 수익만 봐도 이기찬은 비교불가임성시경은 콘서트로 수익 창출 가수들 사이에서도 탑급이라"
위선적인축리웹,가창력만 따진다면 성시경이긴 할듯
파래빵,지프는지프 희재 저작권이 너무 얽혀서 오히려 행사때나 부를 수 있다고 딩고였나 자기 유튜브였나 말한적 있음
리버풀러브,그리고 성시경을 롱런이라고 하기에는 2010년대 중반 이후 음악적 결과물이 유의미한게 없음. 그냥 방송에서 자주 노출되고 가끔 방송이나 유튜브 나와서 노래 불러주면 반응 좋으니 그런데 실제 2010년대 중반 이후 낸 곡 중에서 유의미하게 성공을 거둔 곡은 없음. 임창정처럼 꾸준히 히트곡이 나오는 가수면 모를까.
(덜렁거리며),본인이 더 체감한 가수가 본인에게 더 높게 평가 되는거라 생각함.난 둘 다 별로 체감하지 못했었는데 그나마 더 젊었어서 노래 들었던게 성시경의 노래를 많이 들어서 그런가 성시경.
(부득이하게),"성시경, 박효신 넘었나?"
쿤디판다,발라드 goat 성시경이라는 댓글은 진짜 개소리임. 발라드 goat는 이문세지 ㅅㅂ
나카모리아키나,쿤디판다 아니 솔직히 성시경은 박효신이랑도 힘들어 보이는데;;
캐뻘줌,성시경 노래는 좋은데 사람은 싸가지 없어서 별로임
고북2,난 성시경특유의 감성이좋아
siea,걍 닥 성시경 아님?
아임닭,성시경이 콘서트티켓파워력 훨씬 더 쎌텐데ㅋㅋ
김금자,난 성시경이 더 좋드라 저번에 그거 뭐냐 딩고 나왔을떄 엄청 들었음ㅋㅋㅋ
삼성이성규,내가 작곡가면 성시경한테 곡주고싶긴할듯
라마라마라마,이건 닥치고 성시경이지 이걸 왜 고민하나 목소리 하나로 끝 아님?
한섬닷컴,성시경이 더 낫지 히트곡 수 비교도 안되는구만
브엉저낭,진짜 보니까 성시경이 확실히 활동시기보다 지나서 재평가 받는게 있긴해
코인은돈복사,난 성시경 노래 좋아~
가끔이러다,난 성시경
라우브,먹을텐데 성식영 승
하입쿠키,근데 성시경은 전성기에 남자들한테 비호감으로 찍혀서 저평가 받은 감도 있음
쿠루루쿠루루쿠,강구zl 그게 정말 힘든 거임 발라드 가수 중에 성시경처럼 20년 가까이 롱런한 가수가 손에 꼽음
개푸러,오르니틴 사실 성시경도 인터넷 오디션 가요제 출신임 싼마이로 치면 성시경이 더 싼마이임ㅋㅋㅋ
음밥페내놔,개인적으로는 성시경내 최애곡이 희재이기도 하고…
현대천문학개론,노래 실력은 성시경
오펜하이머무새,저 시대때 성시경 좋아하는사람이 없었음애정만세 하면서 버터왕자 캐릭터 얻고 남초에선 싫어하는쪽이 많았음 걍 이미지가 재수없는 발라더였음
Kokekeke,성시경은 요즘 노래 안하고 술 많이 드시는 분 아니었나
녹차먹은돼지,틀딱 남자들이 성시경 느끼하다고 많이들 싫어했지 ㅋㅋ 여자들은 반대로 엄청 좋아했고
O.Skipp,레아오 가창 능력에서 성시경이 넘사벽인것도 맞지 솔직히
사류하,동탕 지금 성시경 원탑 아닌데?
동탕,사류하 지금도 원탑 맞는데? 후발 주자 아직 대성한 사람 있음? 니 말대로 그 계보에 성시경 다음으로 누가 오름?
무슨,ZUTOMAYO 정보) 너는나의봄이다의 작곡가는 성시경이다
지국천왕,누가 우위인진 모르겠고 둘 다 안 듣다가 성시경 노래는 요새 듣는 중
Durex,성시경은 10cm랑 붙어도 10cm가 이기는데
황족첼붕이,긴매 나도 성시경이더 취향이라 ㅋㅋ
코코펨한펨착,개인적으로 성발라 노래 더 많이 들어서 성시경
magik,난 성시경 학창시절에 진짜 많이 들어서 성시경
수정펀치,성시경은 김동률한테도 밀림
내삶의반다이크,로제박은빈카리나 ???? 성시경의 데뷔때부터 발라드 계보 잇는 가수였음.메가 히트곡은 없었지만 나 초딩때부터 성시경 알았고 꾸준히 앨범냈는데. 거리에서 거의 준 메가히트 치고 그당시 탑은 아니여도 20년동안 발라드 가수 하면 탑 5에 꾸준히 들었는데 그걸 뻥튀기라고 한다고? 어렸을때 박효신 소몰이 파라 성시경 안좋아했는데도 그당시 인기 겁나 많았음 특히 여자들한테
빛쵸비,goroshi 성시경 전성기떄 ㅈ도 없었는데 뭔 ㅋㅋㅋ
으라챠,음밥페내놔 성시경 나무위키 보고왔는데 수상내역에 대상없는데요
