,ID,comments
0,비정상인,2000년생 이상 급식은 장범준90년대생이하는 성시경 나올듯
1,래드키,비정상인 반대임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ00년생은 성시경 80년생은 장범준인 분위기였음ㅋㅋㅋㅋㅋㅋㅋㅋ
2,BEST 래드키,비정상인 성시경 전성기를 모르니까 풍문으로 들은 애들이 더 고평가엠팍은 나이대가 높아서 직접 봤기 때문에 더 냉정하게 평가하는 경향이 있는 듯 엠팍은 장범준이 이기고펨코는 성시경이 이김
3,델카이저,래드키 이말이맞음 성시경이 00년대 goat 은 아니자너
4,원베일리,"델카이저 근데 장범준이 20년대 goat도 아니잖아 ;가창력은 성시경이 우위고,히트곡은 장범준이 우위고..근데 또 20년간 술담배 다 하면서 길게 활동하는거보면 성시경이 더 나은 가수같지만,그 많은 임팩트있는 곡을 썼다는걸 생각하면 또 장범준.."
5,클라우드22,래드키 니가 맞음.  성시경은 고트급인 발라더들은 거론할 것도 없고 김종국도 못이김.
6,비비디디,래드키 나이대 좀 있는 사람들한테 성시경은 음악성이나 가창력보다는 여자들한테 유독 인기 많은 가수 정도로 기억될 가능성이 있지솔직히 그 시절에 날고긴다하는 발라더들 시경이 형말고도 수두룩 빽빽이라ㅋㅋㅋㅋㅋ그리고 오히려 장범준이 약간 독보적인 부분이 있어서 나름 고평가 가능함
7,니나니노,래드키 막말로 성시경 대표곡 뭐냐고 물어보면 모르는 애들이 태반일 듯. 89년생 내 기준으로도 장범준이 앞선다고 봄
8,카스토르,"래드키 진짜 본문 짤방에서 언급했듯이 이승철 vs 임창정이랑 비슷함.. 이승철, 성시경 쪽이 뭔가 아티스트, 대가 이미지가 있는데 정작 작사 작곡은 임창정, 장범준이 더 많고 차트 순위 같은 기록도 더 좋음.. 이승철 전성기 때 경험한 사람은 냉정하게 평가하는데 그냥 풍문으로 들은 사람이 이승철을 엄청난 대가인 줄 아는 것도 비슷.."
9,탐색기,래드키 성시경 이전에 발라드 가수 계보가 있음성시경은 거기에 끼는 사람인거고장범준은 포크와 싱어송라이터 부문에서 독보적임가창력 자체는 성시경이 앞서지만벚꽃엔딩과 여수밤바다 두 곡만으로도 엥간한 가수들 이길 수 있음
10,Kaka#22.,비정상인 성시경이 요즘 유투브로 잘나가서 근데 이건 비교할거리도 안될정도로 성시경 압승일텐데 애초에 성시경은 정규 앨범만 8개임
11,BEST 에펨트리,비정상인 전성기를 모르니깐 대충 들은 이야기 + 예능등에서 본 이미지로 가수를 평가함전성기로보면 당시에도 동시대 발라드 가수한테도 밀리던게 성시경이었는데
12,[Felix],가수로보면 당연히 성시경이지 않나 ㅋㅋ 체급차이 많이나는거 같은데..   틀이라 그런가?   근데 생각해보면 엄청 터진 역대급 노래는 없는거 같기도하고?
13,강팀안티팬,[Felix] 보컬실력으로만보면 압도적으로 성시경인데 가수로보면 장범준
14,BEST 라울과알레,솔직히 아까 성시경이 많아서 놀랬음장범준이 그렇게 저평가될 가수는 아닌데 ㅋㅋㅋ
15,에펨트리,라울과알레 성시경이 한국 발라드 GOAT이라는 애들도 많던데 ㅋㅋㅋㅋ
16,눈군,크래프톤가자잇 나도 30중반인데 아까 댓글에 변진섭 이문세까지 나와서 진짜 깜짝 놀람 ㅋㅋㅋ 성시경 세대면 신승훈 테이프 뒤집어 듣는 세대 다음 세대인데.. 심지어 변진섭은 청바지가 잘어울리는 여자 이 부분 빼고 아는 사람도 별로 없을텐데
17,인천방개,라울과알레 성시경 많은건 둘째치고 장범준이랑 비교하는거 자체가 말이 안된다는 사람들 많았던게 의외였음
18,[전문가],라울과알레 노래실력을 대결하는거? 아니면 히트곡 누가 많냐의 대결? 기준이 뭐냐? 성시경이랑 장범준 붙여놓고 투기장 여는게 이상하네
19,9.3.0521,[전문가] 노래실력도 히트곡 숫자도 성시경이 위인데제일 히트한 곡이 장범준이 위인거지
20,케논,9.3.0521 히트곡수는 장범준이 훨씬더많음.의외로 가요계 황금기시절에 성시경 차트 1등 별로못해봄
21,호나나나나나,라울과알레 장범준 저평가가 아니라 성시경을 이긴다 하니까 어이가 없지
22,C3PO,에펨자료받으러 희재는 아님. 거리에서겠지. 희재는 나왔을때 묻혔다가 롱런하면서 뜬거임
23,MP5,에펨자료받으러 거리에서도 제법 떴지만 벚꽃엔딩에는 못 비빔
24,티아고메시,델카이저 거리에서 희재 너의모든순간 내가너의곁에잠시살았다는걸 내게오는길 넌감동이었어 두사람 좋을텐데 차마 안녕 나의 사랑 너는나의봄이다 그대네요등등 아직까지도 회자되는 노래가 많은데젤 인기 있었던 곡만 따지는 건 이유를 모르겠넹
25,주크박스,가고시마 성시경이 리메이크 하긴 함
26,퍼틸레인,성시경 거리에서 말고는 잘 모르겠음
27,BEST 무협초보,성시경 마지막 앨범 히트곡이 언제냐? 작년에 앨범 새로 냈다가 그냥 소리소문없이 묻혔고 롱런한다는것도 예전 노래빨에 연예인으로 롱런하는거지 가수로 롱런하는게 아닌데장범준 당장 앨범낸다면 일단 무조건 실시간 최상위는 다 들어갈걸?가수로 보면 고점으로 상대도 안되고 롱런으로도 엄청 차이나는것도 아님 장범준은 현재 진행형이니까
28,무협초보,티아고메시 아니 글을 못읽냐 성시경은 예전에 그 전성기가 끝났다는거고 장범준은 지속중이라말을 한거자나 내가 최근 앨범 더 팔았으니 장범준 윈이랬냐 그 가수 롱런도르도 장범준이 전성기가 끝나봐야 비교가능하다는거지
29,가면찾는BOT,무협초보 성시경 데뷔년도나 보고와서 이런말해라 ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
30,뮐러를발롱으로,무협초보 성시경 아직도 앨범내는거 이 댓글 아니면 평생 몰랐을듯
31,Owenm,무협초보 장범준도 성시경처럼 오래되었을때도 앨범에 1등 못할텐데
32,LeslieC,어그로에많관부 원히터라기엔 성시경보다 오히려 히트곡은 더많을걸
33,허밋,LeslieC 히트곡은 성시경이 더 많지 않음? 버스커는 크게 터진게 꽤 있는거고
34,그남자그여자,LeslieC 히트곡이 성시경보다 많다고?
35,섹보스지스털섹,아티스트로 비교하면 작사작곡을 거의 안하는 성시경보다 장범준이 위라고 생각함. 작사작곡을 안하는데 어케 더 위라고 처줄 수 있는지 모르겠음.
36,미하일발락,섹보스지스털섹 너의 모든 순간처럼 성시경이 작곡한 노래도 꽤 있음장범준이 위인 거랑 별개로 성시경이 작사 작곡 안 한다는 건 오해임
37,일간베티스,"섹보스지스털섹 김형석 밑에서 나오고 나서부터 거리에서 들어있던 5집부터 성시경이 쭉 프로듀싱함. 3집부터 자작곡 넣기 시작했고, 6집부터 비중이 상당히 늘었음.7집에서 8집 넘어갈 때까지 10년정도 공백이 있었는데 그때 ost들은 작사,작곡 대부분 본인이 함.곡만 받아서 부른다는게 외려 편견임."
38,클리어,성시경 노래는 좋았는데 걍 임팩트가 없었음 ㅋㅋ 지금까지 그 목소리를 유지해서 요즘 더 뜨는 느낌. 당시 최고히트곡이였던 거리에서보다 이기찬 감기 이런게 더 순위 높았을껄
39,Fkdkd,엠팍은 ㄹㅇ 아재들이라 성시경 전성기때도 저게 요즘 인기있는 가수인가~ 이런 반응이라 더 냉철한듯여기는 아직도 롤보다 스타라는 사람들도 있어서 버즈보다 sg워너비가 위라는 사람들고 있었고 객관적이지 못함
40,다이나믹아일랜드,"가수로서 노래를 더 잘하니 성시경이 더 위라 생각함작사 작곡 능력 따지는 애들은 그럼 가수로서 장범준>이문세라고 할 건가배우한테는 대본 쓰고 감독 본다고 더 좋은 배우라고 안하면서 왜 같은 표현하는 직업인 가수한테는 작사 작곡 능력이 있으면 더 좋은 가수라고 하는 건지 잘 모르겠음아티스트, 창작자로는 장범준이 위지만 가수로는 성시경이 위지"
41,FMNat,다이나믹아일랜드 진짜 조금만 파고들어도 성시경 테크닉이 진짜 엄청나게 어려운건데 노래를 너무 쉽게 부르는 것처럼 보여지니 이러는건가 싶고...걍 둘 다 완전히 다른 스타일로 자신만의 스타일을 승화시키는데 왤케 비교질들인지 모르겠다 ㅋㅋㄱ
42,우야노내쥬지,성시경이 존나게 위지 뭔 개소리들을 쳐하고 자빠졌냐 저긴 ㅋㅋㅋㅋㅋ
43,2월30일,우야노내쥬지 90년대생이고 장범준 뜰 때가 10대후반이었음장범준의 성공을 목도했음에도 나는 성시경이 더 위라고 생각함베스트셀러는 장범준인데스테디셀러는 성시경
44,류혜영사랑해,2월30일 성시경은 동시대에 비교해도 한참 떨어짐 스테디셀러였던 적 없음
45,나는웃기다,influxDB 난 당연히 임창정같은데?지금 성시경하고 장범준비교하는게 뭐 가창력을 논하는게아니라 가수로써 실적을 이야기하는거아님? 고점이나 꾸준함모두 임창정이 위지 . 고점은 솔직히 초딩때라모르겟고 꾸준함으로치면 임창정압살인것같은데
46,khanhyo,Fkdkd 거리에서
47,로제박은빈카리나,성시경은 오히려 최근에 좀 다시 뜬 경향이 있는 거 같은데우리 제법 잘어울려요나 거리에서 때가 전성기였던 거 같고 그 이후로 막 언급이 많이 됐던 적은 별로 없던 거 같은데근데 최근에 좀 활동을 많이 해서 그런가 재조명 받고 인기가 다시 올라간 느낌. 근 10여년 간 중에 지금이 성시경이 제일 인기 많고 언급 많이 되는거 같음솔직히 가수 비교해서 줄세우는게 뭔 의미인가 싶긴 한데 대중적 영향력은 장범준이 더 위인 느낌이긴 함
48,송흥민,성시경이 혹시라도 이 글 보면 잠 못자겠네 ㅋㅋ
49,아조시의비밀친구,나는 성시경 스타일이 더 좋음장범준 노래는 뭔가 발랄한 노래밖에 없는거같음
50,부추,성시경이 고평가 이런 소리 들을 가수는 아니라 생각함 ㅋㅋ 발라드 goat까진 아니더라도 손가락 안에 들어갈텐데
51,신병모시,김해코스트코 ㅋㅋㅋ사랑인걸이랑 비슷한건 말이안되고거리에서 그 당시 올해의 노래 수상하던 노래인데
52,vitas500,성시경을 몰라서 장범준을 높게친다는건 솔직히 말도안되는게... 성시경은 당대도 평정못했음글쓴분이 댓글에 쓴것처럼 다 겪은사람들이면 장범준 뽑을듯. 근데 발라드 좋아하고 성시경 좋아하는 사람들은 성시경픽 해도 이상할건 없는 부분이기도 함.
53,축구의신아자르,노하라히로시 버스커 1집은 시대를 평정했다고 볼만 하지 ㅋㅋ 2012년 앨범인디 지금까지도 회자되고 봄만되면 차트인하는게 벚꽃엔딩 여수밤바다임. 당장 지금 지나가는 사람들한테 봄 하면 생각나는 노래하면 열에 아홉은 벚꽃엔딩 얘기할걸? 딴건 몰라도 버스커 1집은 2010년대 평정한거 맞음.뭐 제패의 기준이 꾸준히 앨범내서 성공한거라면 그럴수있지만.. 버스커 2집도 대박났고 장범준 1집 제외 앨범 다 성공함. 특히 솔로 이후에 디지털 싱글도 죄다 대박쳤는데 ㅋㅋ 회상 흔꽃샴 잠이오질않네요 등등..성시경이 장범준 아래라는건 의견갈린다쳐도 장범준이 2010년대 제패못한다는건 전혀 동의못함
54,아이짱나,그냥 성시경 음색이 개사기 아닌가 가수로서 좀 체급차이가 있다고 생각했는데 장범준이 그정도야?
55,지프는지프,성게전복죽 장범준 노래들 스밍 동접이 성시경 압살함;대표곡 5개만 들어가봐도
56,하루3시간취침,그냥 가수 급 따지기는 콘서트 규모로 보는게 제일 편함장범준 최근 - 핸드볼경기장(5천석)성시경 최근 - 장충체육관(4000석)장범준이 조금 더 급이 높긴한데 성시경은 콘서트를 자주 하고 고점이 높아서 솔직히 비슷한 급이라 생각함
57,시몬유후,하루3시간취침 비교하려면 성시경 콘서트는 축가로 계산해야지 올림픽 보조 경기장 (10000석) 3일 모두 매진
58,유비,성시경이 당연히 윈줄알았는데..95년생임 난 성시경 노래가 더 좋아
59,히드로,성시경 바로 앞에서 라이브로 들어본 사람으로써 한마디하면 세상 살면서 저렇게 감미로운 목소리는 처음 들어봄노래 좀 한다는 일반인들? 성시경 발톱 때에도 못미침 진짜 고막 유린당하는줄
60,시누누,노하라히로시 장범준이 이름값 밀리는건 성시경은 예능같은 티비 출연이 많고 장범준은 그런거는 아예 신경도 안쓰다시피 하는 것도 클듯
61,후에마,난 성시경 노래를 ㅈㄴ잘부르잖아
62,그짓말쟁이,술은 장범준이 분신술쓰고와도 성시경한텐 안된다. 장르바꿔서 한판 뜨던가
63,한국고대사,래드키 '거리에서'는 그래도  꽤 고점이라고 부를만하지 않나요??
64,스넬,장범준도 좋긴한데 개취로 좀 자가복제 느낌임 ㅋ성시경 노래 훨씬 좋아함
65,로컬푸드,스넬 장범준은 곡의 95%가 자작곡이고 성시경은 그 반대니까 당연함
66,루피,"현재 위상은 종합적으로 봤을때 성시경의 근소 우위지만 3-4년만 더 지나도 뒤집힌다고 봄장범준은 음원, 앨범 냇다하면 바로 탑10급이니성시경도 뭐 ost 같은건 곡 잘받으면 차트인 할수있겠지만 정규앨범에서 이제는 매니아밖에 남지않았다고 봄음악성으로 봐도 장범준이 꿀릴건 없지스스로 작사작곡하는 싱어송라이터랑 곡 받아서 부르는 보컬이랑은..물론 성시경은 그 보컬중에서도 독보적인 음색을 지닌 유니크한 발라더니까 위상이 버텨주는거지"
67,앞날이창창함,뭔 헛소리임. 이적 vs 성시경 같은 소리하고 있네. 장범준이 싱어송라이터로서 뛰어날진 몰라도 가수로서는 성시경이 몇 티어 위지.
68,햄버걸줄수있을때,근데 성시경 당시에 그렇게 히트 아니라는데 나 02년생이라 성시경 전성기 세대 아닌데도 어렸을때부터 거리에도 내게오는길 이런거 어렴풋이 알고있었음반면에 더 히트했다는 이수영은 가수이름도 모르고 노래도 하나도 몰랐음 나중에 내가 직접 찾아보고서야 알았고
69,리버풀러브,성시경이 가창력이나 음색은 대단하지만 대중가수로서 진짜 이미지에 비해 시대를 지배하지는 못했음. 가창력 측면에서면 모를까 대중가수로서의 커리어를 물으신다면 지금은 몰라도 조금 더 시간이 지난다면 장범준이 성시경보다 더 음악적 결과물을 유의미하게 만들 것 같음.
70,만들게없어,성시경 코앞에서 들은 나는 성시경.:
71,saddy112,"지프는지프 ㅁㅊ 너무 내려친다 ㅋㅋ성시경 역대 앨범 빼고 이윽고 한곡으로 음원, 노래방 수익만 봐도 이기찬은 비교불가임성시경은 콘서트로 수익 창출 가수들 사이에서도 탑급이라"
72,FMM,"성시경은 가창력 우위, 장범준은 직접 작사 작곡까지 가능."
73,사람이름이엄,"당연히 성시경이라 생각했는데 댓글들 보고 생각해보니 장범준, 직접 노래 들으면야 성시경이 더 잘하겠지만 장범준은 진짜 신드롬이였어서....."
