,content,sentiment,negative,neutral,positive,highlight
0,2000년생 이상 급식은 장범준90년대생이하는 성시경 나올듯.,neutral,0.00025547968,0.99944407,0.000300498,이상 급식은 장범준90년대생이하는 성시경 나올듯
1,비정상인 반대임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,neutral,0.06712711,0.9320371,0.0008357702,비정상인 반대임ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2,00년생은 성시경 80년생은 장범준인 분위기였음ㅋㅋㅋㅋㅋㅋㅋㅋ.,neutral,0.00028797664,0.9995009,0.00021110715,00년생은 성시경 80년생은 장범준인 분위기였음ㅋㅋㅋㅋㅋㅋㅋㅋ
3,비정상인 성시경 전성기를 모르니까 풍문으로 들은 애들이 더 고평가엠팍은 나이대가 높아서 직접 봤기 때문에 더 냉정하게 평가하는 경향이 있는 듯 엠팍은 장범준이 이기고펨코는 성시경이 이김.,neutral,0.0013640955,0.9837172,0.014918712,더 냉정하게 평가하는 경향이 있는 듯 엠팍은 장범준이 이기고펨코는 성시경이 이김
4,래드키 이말이맞음 성시경이 00년대 goat 은 아니자너.,neutral,0.0024160293,0.99248695,0.005097003,래드키 이말이맞음 성시경이 00년대 goat 은 아니자너
5,델카이저 근데 장범준이 20년대 goat도 아니잖아 ;,neutral,0.012919335,0.983745,0.003335657,장범준이 20년대 goat도 아니잖아 
6,"가창력은 성시경이 우위고,히트곡은 장범준이 우위고..근데 또 20년간 술담배 다 하면서 길게 활동하는거보면 성시경이 더 나은 가수같지만,그 많은 임팩트있는 곡을 썼다는걸 생각하면 또 장범준...래드키 니가 맞음.",positive,0.000435194,0.012595609,0.9869691,그 많은 임팩트있는 곡을 썼다는걸 생각하면 또 장범준
7,  성시경은 고트급인 발라더들은 거론할 것도 없고 김종국도 못이김..,negative,0.96823835,0.030566782,0.0011948863,성시경은 고트급인 발라더들은 거론할 것도 없고 
8,래드키 나이대 좀 있는 사람들한테 성시경은 음악성이나 가창력보다는 여자들한테 유독 인기 많은 가수 정도로 기억될 가능성이 있지,positive,0.00043635577,0.005998931,0.99356467,있는 사람들한테 성시경은 음악성이나 가창력보다는 여자들한테 유독 인기 많은 가수 정도로 기억될 가능성이 있지
9,솔직히 그 시절에 날고긴다하는 발라더들 시경이 형말고도 수두룩 빽빽이라ㅋㅋㅋㅋㅋ,neutral,0.026661312,0.971972,0.0013666765,발라더들 시경이 형말고도 수두룩 빽빽이라
10,그리고 오히려 장범준이 약간 독보적인 부분이 있어서 나름 고평가 가능함.,positive,0.00062364625,0.002317603,0.99705875,부분이 있어서 나름 고평가 가능함
11,래드키 막말로 성시경 대표곡 뭐냐고 물어보면 모르는 애들이 태반일 듯.,negative,0.993486,0.0058837757,0.000630319,래드키 막말로 성시경 대표곡 뭐냐고 물어보면 모르는 애들이 태반일 듯
12, 89년생 내 기준으로도 장범준이 앞선다고 봄.래드키 진짜 본문 짤방에서 언급했듯이 이승철 vs 임창정이랑 비슷함..,neutral,0.0011042737,0.99720407,0.0016917113,본문 짤방에서 언급했듯이 이승철 vs 임창정이랑 비슷함
13," 이승철, 성시경 쪽이 뭔가 아티스트, 대가 이미지가 있는데 정작 작사 작곡은 임창정, 장범준이 더 많고 차트 순위 같은 기록도 더 좋음.. 이승철 전성기 때 경험한 사람은 냉정하게 평가하는데 그냥 풍문으로 들은 사람이 이승철을 엄청난 대가인 줄 아는 것도 비슷...래드키 성시경 이전에 발라드 가수 계보가 있음",positive,0.0011514612,0.10194158,0.8969069,차트 순위 같은 기록도 더 좋음
14,성시경은 거기에 끼는 사람인거고장범준은 포크와 싱어송라이터 부문에서 독보적임,positive,0.0004690171,0.0059297155,0.99360126,성시경은 거기에 끼는 사람인거고장범준은 포크와 싱어송라이터 부문에서 독보적임
15,가창력 자체는 성시경이 앞서지만벚꽃엔딩과 여수밤바다 두 곡만으로도 엥간한 가수들 이길 수 있음.,positive,0.0006617987,0.0010690653,0.9982691,엥간한 가수들 이길 수 있음
16,비정상인 성시경이 요즘 유투브로 잘나가서 근데 이건 비교할거리도 안될정도로 성시경 압승일텐데 애초에 성시경은 정규 앨범만 8개임.,neutral,0.0011096549,0.9952107,0.0036796504,비교할거리도 안될정도로 성시경 압승일텐데 애초에 성시경은 정규 앨범만 8개임
17,비정상인 전성기를 모르니깐 대충 들은 이야기 + 예능등에서 본 이미지로 가수를 평가함전성기로보면 당시에도 동시대 발라드 가수한테도 밀리던게 성시경이었는데.,neutral,0.0049139727,0.68660784,0.30847824,당시에도 동시대 발라드 가수한테도 밀리던게 성시경이었는데
18,가수로보면 당연히 성시경이지 않나 ㅋㅋ,neutral,0.00046066113,0.9987287,0.0008106901,가수로보면 당연히 성시경이지 않나 
19, 체급차이 많이나는거 같은데..   틀이라 그런가?,neutral,0.0010330324,0.99875414,0.00021272905,체급차이 많이나는거 같은데
20,   근데 생각해보면 엄청 터진 역대급 노래는 없는거 같기도하고?.,negative,0.9922816,0.006071335,0.0016470079,생각해보면 엄청 터진 역대급 노래는 없는거 같기도하고
21,[Felix] 보컬실력으로만보면 압도적으로 성시경인데 가수로보면 장범준.,positive,0.0004374542,0.0026348124,0.9969278,보컬실력으로만보면 압도적으로 성시경인데 가수로보면 장범준
22,솔직히 아까 성시경이 많아서 놀랬음,neutral,0.0009471859,0.99680555,0.0022472967,솔직히 아까 성시경이 많아서 
23,장범준이 그렇게 저평가될 가수는 아닌데 ㅋㅋㅋ.,neutral,0.0015831344,0.99124897,0.0071677784,장범준이 그렇게 저평가될 가수는 아닌데 
24,라울과알레 성시경이 한국 발라드 GOAT이라는 애들도 많던데 ㅋㅋㅋㅋ.,neutral,0.0008091877,0.9983015,0.00088925636,애들도 많던데 
25,크래프톤가자잇 나도 30중반인데 아까 댓글에 변진섭 이문세까지 나와서 진짜 깜짝 놀람 ㅋㅋㅋ,neutral,0.0012601572,0.9838006,0.014939277,댓글에 변진섭 이문세까지 나와서 진짜 깜짝 놀람 
26, 성시경 세대면 신승훈 테이프 뒤집어 듣는 세대 다음 세대인데.. 심지어 변진섭은 청바지가 잘어울리는 여자 이 부분 빼고 아는 사람도 별로 없을텐데.,neutral,0.001102724,0.9735752,0.02532213,심지어 변진섭은 청바지가 잘어울리는 여자 이 부분 빼고 
27,라울과알레 성시경 많은건 둘째치고 장범준이랑 비교하는거 자체가 말이 안된다는 사람들 많았던게 의외였음.,neutral,0.0017069208,0.99710625,0.0011868214,둘째치고 장범준이랑 비교하는거 자체가 말이 안된다는 사람들 많았던게 의외였음
28,라울과알레 노래실력을 대결하는거?,neutral,0.0018396395,0.9975993,0.0005610321,라울과알레 노래실력을 대결하는거
29, 아니면 히트곡 누가 많냐의 대결?,neutral,0.00341187,0.9957495,0.0008385998,히트곡 누가 많냐의 대결
30, 기준이 뭐냐?,neutral,0.0089761615,0.9908539,0.00016981679,기준이 뭐냐
31, 성시경이랑 장범준 붙여놓고 투기장 여는게 이상하네.,negative,0.9990484,0.00065260637,0.0002989804,성시경이랑 장범준 붙여놓고 투기장 여는게 이상하네
32,[전문가] 노래실력도 히트곡 숫자도 성시경이 위인데제일 히트한 곡이 장범준이 위인거지.9.3.0521 히트곡수는 장범준이 훨씬더많음.,neutral,0.00087411574,0.965207,0.033918887,제일 히트한 곡이 장범준이 위인거지
